"knapsack","kegg"
"C00001594","C08552"
"C00001595","C08554"
"C00001596","C08555"
"C00001597","C08556"
"C00001598","C08557"
"C00001599","C08559"
"C00001600","C08560"
"C00001601","C08562"
"C00001602","C08563"
"C00001603","C08564"
"C00001604","C08565"
"C00001605","C08566"
"C00001606","C08567"
"C00001607","C08568"
"C00001608","C08569"
"C00001609","C08654"
"C00001610","C08655"
"C00001611","C06091"
"C00001612","C08656"
"C00001613","C08657"
"C00001614","C08658"
"C00001615","C08659"
"C00001616","C08660"
"C00001617","C08661"
"C00001618","C08662"
"C00001619","C08663"
"C00001620","C08664"
"C00001621","C08665"
"C00001622","C08666"
"C00001623","C08667"
"C00001624","C08668"
"C00001625","C08669"
"C00001626","C08670"
"C00001627","C08671"
"C00001628","C08672"
"C00001629","C08673"
"C00001630","C08674"
"C00001631","C08675"
"C00001632","C08676"
"C00001633","C08677"
"C00001634","C08678"
"C00001635","C08679"
"C00001636","C08680"
"C00001637","C08681"
"C00001638","C08682"
"C00001639","C08683"
"C00001640","C08684"
"C00001641","C08685"
"C00001642","C08686"
"C00001643","C08687"
"C00001644","C08688"
"C00001645","C08689"
"C00001646","C08690"
"C00001647","C08691"
"C00001648","C08692"
"C00001649","C08693"
"C00001650","C08694"
"C00001651","C08695"
"C00001652","C08696"
"C00001653","C08697"
"C00001654","C08698"
"C00001655","C08699"
"C00001656","C08700"
"C00001657","C08701"
"C00001658","C08702"
"C00001659","C08703"
"C00001660","C08704"
"C00001661","C08705"
"C00001662","C08706"
"C00001663","C08707"
"C00001664","C08708"
"C00001665","C08709"
"C00001666","C08710"
"C00001667","C08711"
"C00001668","C08712"
"C00001669","C08713"
"C00001670","C08714"
"C00001671","C08715"
"C00001672","C06092"
"C00001673","C09019"
"C00001674","C09020"
"C00001675","C09021"
"C00001676","C09022"
"C00001677","C09023"
"C00001678","C09024"
"C00001679","C06542"
"C00001680","C09025"
"C00001681","C09026"
"C00001682","C09027"
"C00001683","C09028"
"C00001684","C08433"
"C00001685","C09032"
"C00001686","C09033"
"C00001687","C09034"
"C00001688","C09035"
"C00001689","C09036"
"C00001690","C09037"
"C00001691","C09052"
"C00001692","C09054"
"C00001693","C09082"
"C00001694","C09083"
"C00001695","C09084"
"C00001696","C10904"
"C00001697","C09085"
"C00001698","C09088"
"C00001699","C09089"
"C00001700","C09097"
"C00001701","C09098"
"C00001702","C09100"
"C00001703","C09106"
"C00001704","C09107"
"C00001705","C09129"
"C00001706","C09130"
"C00001707","C09131"
"C00001708","C09133"
"C00001709","C09139"
"C00001710","C09142"
"C00001711","C09144"
"C00001712","C06541"
"C00001713","C09146"
"C00001714","C09149"
"C00001715","C09152"
"C00001716","C09154"
"C00001717","C06068"
"C00001718","C09160"
"C00001719","C09162"
"C00001720","C09164"
"C00001721","C07545"
"C00001722","C07543"
"C00001723","C09167"
"C00001724","C07544"
"C00001725","C09170"
"C00001726","C09176"
"C00001727","C09187"
"C00001728","C09191"
"C00001729","C09193"
"C00001730","C09195"
"C00001731","C09197"
"C00001732","C09200"
"C00001733","C09203"
"C00001734","C09207"
"C00001735","C06536"
"C00001736","C09209"
"C00001737","C06538"
"C00001738","C09211"
"C00001739","C09212"
"C00001740","C09213"
"C00001741","C09214"
"C00001742","C09215"
"C00001743","C09218"
"C00001744","C09219"
"C00001745","C09220"
"C00001746","C09221"
"C00001747","C09222"
"C00001748","C09223"
"C00001749","C09224"
"C00001750","C09225"
"C00001751","C09226"
"C00001752","C09227"
"C00001753","C09228"
"C00001754","C09229"
"C00001755","C09230"
"C00001756","C09231"
"C00001757","C06535"
"C00001758","C09232"
"C00001759","C09233"
"C00001760","C09234"
"C00001761","C09235"
"C00001762","C06540"
"C00001763","C06539"
"C00001764","C09236"
"C00001765","C09237"
"C00001766","C09238"
"C00001767","C09239"
"C00001768","C09240"
"C00001769","C09241"
"C00001770","C06522"
"C00001771","C09242"
"C00001772","C09274"
"C00001773","C09244"
"C00001774","C09243"
"C00001775","C09245"
"C00001776","C09246"
"C00001777","C09247"
"C00001778","C09248"
"C00001779","C09249"
"C00001780","C09250"
"C00001781","C07201"
"C00001782","C09251"
"C00001783","C07204"
"C00001784","C01626"
"C00001785","C09252"
"C00001786","C09253"
"C00001787","C09254"
"C00001788","C09255"
"C00001789","C09256"
"C00001790","C09322"
"C00001791","C09323"
"C00001792","C09324"
"C00001793","C09325"
"C00001794","C09326"
"C00001795","C09327"
"C00001796","C09328"
"C00001797","C09329"
"C00001798","C09330"
"C00001799","C02134"
"C00001800","C09331"
"C00001801","C09333"
"C00001802","C09334"
"C00001803","C09335"
"C00001804","C09336"
"C00001805","C09337"
"C00001806","C09338"
"C00001807","C09339"
"C00001808","C09340"
"C00001809","C09341"
"C00001810","C09342"
"C00001811","C06514"
"C00001812","C09343"
"C00001813","C09347"
"C00001814","C11141"
"C00001815","C09348"
"C00001816","C09352"
"C00001817","C09357"
"C00001818","C09360"
"C00001819","C00757"
"C00001820","C09364"
"C00001821","C06327"
"C00001822","C09365"
"C00001823","C09366"
"C00001824","C09367"
"C00001825","C09368"
"C00001826","C09369"
"C00001828","C09370"
"C00001829","C09371"
"C00001830","C09372"
"C00001831","C09375"
"C00001832","C09377"
"C00001833","C09380"
"C00001834","C09389"
"C00001835","C09390"
"C00001836","C09391"
"C00001837","C06174"
"C00001838","C09393"
"C00001839","C09398"
"C00001840","C09400"
"C00001841","C09410"
"C00001842","C09411"
"C00001843","C09415"
"C00001844","C09418"
"C00001845","C09419"
"C00001846","C06347"
"C00001847","C05191"
"C00001848","C09420"
"C00001849","C09421"
"C00001850","C09422"
"C00001851","C09423"
"C00001852","C09424"
"C00001853","C06531"
"C00001854","C06532"
"C00001855","C09426"
"C00001856","C09430"
"C00001857","C09438"
"C00001858","C09441"
"C00001859","C09444"
"C00001860","C09445"
"C00001861","C09446"
"C00001862","C09457"
"C00001863","C09458"
"C00001864","C09459"
"C00001865","C09460"
"C00001866","C09461"
"C00001867","C09462"
"C00001868","C09464"
"C00001869","C09541"
"C00001870","C09543"
"C00001871","C09546"
"C00001872","C09549"
"C00001873","C09550"
"C00001874","C09553"
"C00001875","C09555"
"C00001876","C09558"
"C00001877","C09565"
"C00001878","C09567"
"C00001879","C09569"
"C00001880","C09571"
"C00001881","C09573"
"C00001882","C09575"
"C00001883","C06165"
"C00001884","C09580"
"C00001885","C09581"
"C00001886","C09588"
"C00001887","C09589"
"C00001888","C09590"
"C00001889","C01516"
"C00001890","C09591"
"C00001891","C09592"
"C00001892","C09593"
"C00001893","C09594"
"C00001894","C09595"
"C00001895","C09596"
"C00001896","C09597"
